state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.985750405831081,0.07420648564591241,1.7880474696666666,0.05217650680269159,-1.7796975969716686e-06,0.0011037203755293143,1146
CLOSING,4.9996613985076195,0.05520825958883996,1.781625965935185,0.045001659809932565,2.510139419134549e-05,0.0009346219304933065,189
CONTACT,5.472535998444176,0.05061649624387112,1.8499499409675277,0.03398151667537662,3.727338431585208e-05,0.0009043799747233288,1092
CONTACT_CONFIRMED,3.869108627617923,0.5203980632111992,1.1205099804877376,0.22218553670515476,2.1617862903469216e-05,0.001485750852916204,549
EVALUATE,8.446815472477331,0.12475894304302254,3.7352829435244796,0.05635729999087398,0.0002732600874604318,0.001385844395939498,221
GRASP_1,3.9705827881738176,0.45259208252513855,1.1700904143909643,0.2020838502094938,-5.7519154990218225e-06,0.0011143755608319518,757
GRASP_2,3.8657275183747783,0.23265216639970662,1.0663658660133384,0.11466949681652841,-2.776969768049351e-05,0.0009489523097761842,789
GRASP_3,4.12418198399422,0.23935080735136552,1.220738908544436,0.10990082340626423,1.687342568867795e-05,0.001181615909512362,789
GRASP_4,4.112082242620672,0.18190955306924675,1.2121551605336247,0.07963552111332012,1.1333269611332158e-05,0.0010786354534960444,789
GRASP_5,4.166898801701495,0.22335202156743522,1.2204580984512041,0.10315402226325121,-4.6238714839686536e-05,0.0010078509595296485,789
UPLIFT,7.69416171073645,1.6147628223152002,3.2370181826563083,0.9009492688381768,0.008813963333061633,0.006302889788340954,214
