state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.405593412224625,0.062216147084788315,1.6703944249934572,0.0403609056915953,1.7578896597186174e-05,0.0009831989858283534,1157
CLOSING,4.363169770719139,0.0642138012424592,1.6524224652534438,0.05351901078077337,0.00020674738946539273,0.0008923128013104041,151
CONTACT,4.34310042963786,0.08785446037463403,1.6321754608876518,0.05215826387658031,-6.142593753141787e-05,0.0011317919857448534,1103
CONTACT_CONFIRMED,3.9551270665821665,0.34623941204122427,1.3376716385249083,0.23834185200114735,-0.00010625236418850689,0.002513963019770528,120
EVALUATE,5.28230766136309,0.08522122605792048,1.8704780971941364,0.04273507433874223,2.9796419175561975e-05,0.0010054021468966512,220
GRASP_1,3.590739833460863,0.20074446926237355,1.0596459174588457,0.1481640481235294,7.734620063644905e-05,0.0012522585196132253,753
GRASP_2,3.709890764028234,0.12432724373295308,1.1557913225612593,0.09083038573504258,9.222976580675943e-06,0.0009526581294200024,821
GRASP_3,3.718747812030051,0.11330674656393323,1.1608720965807398,0.07785043175702208,-2.5345111340890062e-05,0.0009392934458810921,784
GRASP_4,3.721015359725369,0.09913950718737645,1.1460758605769878,0.056915599498401644,-5.3783575847879454e-05,0.0008778537116911012,827
UPLIFT,5.114959840920139,0.5880567993668065,1.8049310828259908,0.24841410028973102,0.009545202579886272,0.005633959925979143,217
