state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.837575848277284,0.14170049392482056,1.7472865273673797,0.07872571225693858,-7.1853299247626e-05,0.0015450199860468224,1145
CLOSING,4.826138454941978,0.11312716598751493,1.7369752572021977,0.06375500751459696,9.689319362685607e-05,0.0012313978898650115,182
CLOSING_COMMAND,4.846101461969,0.14987692434112893,1.7492743307579999,0.08235611740215437,0.0006057203035775001,0.0017486471544717092,10
CONTACT,5.062429020922593,0.10348304367483901,1.8856125353872266,0.06230868774462759,-8.004054197281236e-05,0.0013035136538989654,1107
CONTACT_CONFIRMED,4.237140249767733,0.2259982437414529,1.3710096289992002,0.13941526239006177,-8.109965719401838e-05,0.0012361768608554933,525
EVALUATE,5.482022191002547,0.0958015169823916,2.042622037694198,0.04624475958404787,1.275660323981165e-05,0.0010466896619740203,212
GRASP_1,4.151324546688325,0.20813975631426637,1.3133032922264511,0.12922011420885413,4.928978721446682e-05,0.000996916551094122,758
GRASP_2,4.015369864929542,0.250448705099475,1.2569231752695669,0.14452761154613888,-1.0185976143397026e-05,0.0009978446162215403,808
GRASP_3,4.42283802892035,0.1831803136897888,1.4535063192433288,0.10553050741718563,1.7918721703611643e-06,0.0012816694544818365,799
GRASP_4,4.401306497890156,0.11689634739591413,1.4506355117273833,0.06456369587322178,6.372856588770071e-05,0.0012319359067098255,772
GRASP_5,4.394246167796612,0.11983144670924896,1.452449444813636,0.06916615345659473,-1.3741189243515187e-05,0.001065064795085691,803
UPLIFT,5.426443301605721,0.4612337173209034,1.9543101492248651,0.22144208339354401,0.009440412926729862,0.005578551865815042,222
