state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.86992703743157,0.023371312155126143,1.8451861647649268,0.013672893365165762,1.923959703561768e-06,0.0006738016648511515,1159
CLOSING,4.86966188536628,0.024497123737160825,1.8431182080371513,0.01717123304862601,1.6938657388383322e-05,0.0006240129174707736,172
CONTACT,5.440252168382913,0.031666800463576686,1.9175219833360477,0.030465355736904853,-3.702996515905684e-05,0.0009087221387160416,1088
CONTACT_CONFIRMED,4.283183285055763,0.5920404019672224,1.3651287099200444,0.3051851404398627,-9.444115072616134e-05,0.0023468623890045325,203
EVALUATE,8.362757055966116,0.11896576518760918,3.743325923801116,0.05862398043105319,0.00023355607002216068,0.0012903829955601867,224
GRASP_1,3.8721280014790103,0.42710263627606637,1.2489425112376173,0.17801563179758953,2.9871106159265148e-05,0.0011203375660141439,768
GRASP_2,3.96037861926599,0.2514902903671204,1.2562760721758282,0.11088702681923875,-1.4601192562257002e-05,0.0009118653057802621,803
GRASP_3,3.9610535704901433,0.24328100093255836,1.257096930023794,0.09788549923285865,-1.9765752347397355e-05,0.000858262404900712,767
UPLIFT,7.633738941395446,1.5879137905325995,3.2848009847045065,0.8635685475382904,0.008615798606113905,0.0061819022944557146,213
