state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.784514565824333,0.038248442609817024,1.8465016767867135,0.019735541895347607,1.6353443760328885e-06,0.0007974101171276343,1147
CLOSING,4.768843992819611,0.06425177248509553,1.8338126514447404,0.034708400507863994,7.035266802052662e-05,0.0008917482504795242,154
CONTACT,4.696243120809523,0.06532764130030207,1.6845923269347254,0.053574070088727194,3.8266057656844206e-05,0.0012129530494152999,1111
CONTACT_CONFIRMED,4.359934209853051,0.26562193512286797,1.4112142453235064,0.20655147389659817,5.127702547691171e-05,0.0020335920280228795,154
EVALUATE,5.313734866299009,0.11628549785579473,1.876294751017027,0.05083061987756126,3.7806916972231016e-06,0.0011106309969692852,222
GRASP_1,4.166122740903751,0.15075255505309748,1.232054569048182,0.12677999083402453,3.7669011091138006e-05,0.000860865016011087,781
GRASP_2,4.3239965315834725,0.10642244728088772,1.323326066866417,0.0939026594635812,-3.9836502840585064e-05,0.0009508282228290489,815
GRASP_3,4.318758181535182,0.10283424958273611,1.3118983819899028,0.06641548914000413,-4.5032582176961456e-05,0.001116646196403973,824
GRASP_4,4.333251218178964,0.09633260365787513,1.296546121888397,0.0676074531001215,3.402481544227321e-05,0.0012892138435839395,811
UPLIFT,5.2370893239918255,0.4224516137505778,1.828734382368904,0.21640266575318834,0.009591294412547788,0.005685577105175988,219
