state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.87850758960248,0.02083312672000341,1.8157108543381222,0.011623549755008206,-1.2299094411354708e-05,0.0006735708884726909,1145
CLOSING,4.879544867277707,0.020738807975252106,1.8150684911061175,0.01290327586890104,1.9092230608182584e-05,0.0007471752264959133,170
CONTACT,5.429719447380463,0.04926166738285497,1.8986741182450133,0.03680857018304145,9.108846197860536e-05,0.0010318989910669469,1103
CONTACT_CONFIRMED,4.430679166590368,0.5627412543161324,1.3972431280368711,0.2878960125785754,1.8004844684374525e-05,0.0021773587608027163,163
EVALUATE,8.398567237509297,0.10771986457248874,3.7347969115221593,0.050629295395073076,0.00017950491889098357,0.0011854233608421336,213
GRASP_1,3.85669580462749,0.4573646035994923,1.204677785020182,0.19786094680567165,1.1970456617718567e-06,0.0010950253511393324,769
GRASP_2,3.924505338467545,0.3018489717039787,1.2150933585262875,0.13010843054236287,-3.7068752241653935e-05,0.0009117912840402979,835
GRASP_3,3.9524029144355644,0.26759155809575297,1.2057236320558808,0.11171480052567763,-6.29439711075883e-05,0.001283683434839324,789
GRASP_4,3.9080409311124176,0.2222798554628862,1.172545984298397,0.09144418166461944,2.8645737582510772e-05,0.000915181964801563,786
UPLIFT,7.626662076583378,1.6689566457953824,3.24363818520455,0.9133866860500055,0.008656601065360094,0.006155879006388949,222
