state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.782765974939879,0.05559181256182818,1.8487391922055967,0.04357085210695048,1.7482379946805314e-05,0.0010946897951532016,1156
CLOSING,4.77459305538478,0.04891798650868749,1.8343296956832074,0.05073950318682003,0.0001218877210004646,0.0010058464286263158,159
CONTACT,4.715414241911034,0.06522112298706616,1.6992992204413737,0.048702817925799974,0.00011287872723404925,0.0011868834256087714,1092
CONTACT_CONFIRMED,4.5312238831752,0.2951000338604041,1.557925065666,0.20593688633072307,-8.844126390257879e-05,0.0025470711272771182,75
GRASP_1,4.142998354771984,0.12446111805163748,1.2461899333386863,0.09954951659527497,9.19394498464477e-06,0.0012536280793371513,746
GRASP_10,4.344324340256927,0.08063502763300778,1.3215300637627077,0.04637612624318497,4.037961179311644e-06,0.0009622376918493584,794
GRASP_2,4.366500124557672,0.09704431792552383,1.3262587019584218,0.08961405410620238,-8.818049539818236e-05,0.0008937455902373921,773
GRASP_3,4.182202885091512,0.13459365186230376,1.2224116574504875,0.08071536266745419,5.5148434537129716e-05,0.0009998347885325737,800
GRASP_4,4.2293772269693966,0.09769679755037859,1.25891918652734,0.053265410513171886,-1.274445765911052e-05,0.0008683212778759544,812
GRASP_5,4.097269157762764,0.13810171605604937,1.1645919267680276,0.08476322358841983,-2.90986369436673e-05,0.001152674605165675,796
GRASP_6,4.358638634502441,0.11248547402232503,1.322492629467858,0.08344017622302059,4.756534317190762e-05,0.001046695654082052,803
GRASP_7,4.36293418922808,0.10040686046514713,1.3168861810243644,0.0614134422639185,1.631602050465786e-05,0.0011418620162080683,818
GRASP_8,4.233845476326557,0.1191105764014558,1.2533872529160806,0.07102587116843742,6.41565436282691e-05,0.0011743302185388308,819
GRASP_9,4.1943958956600005,0.10580616850291896,1.2204947080787212,0.057018422499307136,5.112352449788834e-05,0.0008012477288953461,829
