state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.85623256512176,0.03995627830276337,1.8287107498812771,0.024976841296937582,-3.200071932146653e-05,0.0008185207005091828,1159
CLOSING,4.85505917838893,0.07590469781686676,1.823723777232781,0.05022244411807626,-7.16664384237431e-05,0.0012031112801358782,187
CONTACT,4.852231927893644,0.046481862597484595,1.7453775102220017,0.03439489520008569,1.0952674201626003e-05,0.0009235335693024273,1114
CONTACT_CONFIRMED,4.460393752628987,0.26840340467669443,1.424428724391405,0.22786940643582385,-8.416293436324374e-05,0.0022584284044927937,158
EVALUATE,5.388130857015622,0.11567199775402728,1.8373050553055301,0.0573679852395721,8.594520117618172e-05,0.0012896597418634935,217
GRASP_1,4.2325022726206285,0.18233889768532693,1.1964516705083719,0.1601107555526039,-2.520069714459403e-06,0.0008592359377685131,780
GRASP_2,4.188592394296309,0.17992006190036497,1.1529616845670543,0.162165619494273,-3.725695694761342e-05,0.0010288254766528684,832
GRASP_3,4.404953125389837,0.10400542522209227,1.2770247207493248,0.08437499463157085,-5.7392037721307064e-05,0.0009804203026063365,800
GRASP_4,4.402545708207938,0.10878408047864964,1.2954244293886974,0.08095759357369396,4.044418034856474e-05,0.0010973371630838278,829
GRASP_5,4.412761118939964,0.11545729459121569,1.2873775966642105,0.08542728711404073,6.551857946655508e-05,0.0014516185291415685,836
UPLIFT,5.339119067461963,0.44467974923183456,1.8076626859777625,0.20412409559706565,0.009567432152534182,0.005498216477038495,219
