state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,3.7322292428400003,0.04901429827072474,1.4825498602199365,0.03793886375438633,9.732198925572562e-06,0.0008836725788533829,1259
CLOSING,3.717464791799607,0.05778039721615479,1.4721152940165732,0.048472372811165836,0.00013288645398294127,0.0009719772113891779,178
CLOSING_COMMAND,3.685418407387,0.012837587146926293,1.4506574227229998,0.038250780709647665,0.0006185260968361,0.0008060165005119231,10
CONTACT,3.4896407412959753,0.07137371850640352,1.2759028205124667,0.04547550895130481,-3.798196062897253e-05,0.0010283638822751642,1123
CONTACT_CONFIRMED,3.054492351690621,0.38223042177213445,0.9466521557006149,0.2687993437046194,0.000191423285485577,0.0017536992323930484,161
EVALUATE,4.656232872843095,0.07174819706756742,1.6201208193220953,0.026255905533924206,5.1657995011071776e-05,0.0009547745481021225,210
GRASP_1,2.7653256339902215,0.2364365301649067,0.7544203906124852,0.16657259849437375,3.296891940851085e-05,0.000994347328534073,542
GRASP_2,2.687088493641229,0.13585807773390907,0.737388055778293,0.04988812116146361,4.340872920780339e-05,0.0011020082257906074,594
GRASP_3,2.5205892252774076,0.132992468869308,0.6749752784753756,0.04939278272172545,0.00012228164000125877,0.0009539615821380712,567
GRASP_4,2.539206876079945,0.0910792263300246,0.672373938721271,0.029621262516247245,-4.0146266815180164e-05,0.0008347940661103191,546
GRASP_5,2.5607701579273083,0.10701358647943532,0.6803885389668183,0.033403766585382376,-3.885190976638547e-05,0.000923052162825512,561
UPLIFT,4.385325280256592,0.740362417248058,1.5145854105140764,0.3120612203632305,0.009493865214925576,0.00556857162163027,223
