state_label,mean_wrench_norm,std_wrench_norm,mean_tau_ext_norm,std_tau_ext_norm,mean_ee_vz,std_ee_vz,count
BASELINE,4.727114450826018,0.0390318070357342,1.8359232577664275,0.028639365508540397,-5.0536712184079006e-06,0.0008727804042479988,1145
CLOSING,4.722788216045672,0.01990715027040518,1.8243706343939554,0.035309033558253086,-2.453895458351626e-05,0.0009315456369410791,134
CONTACT,4.704499033746711,0.029131838736552965,1.7518697306879765,0.03617298590298872,6.2209478193249286e-06,0.0010139365969497674,1107
CONTACT_CONFIRMED,4.441301695749402,0.2801921677058627,1.519593812989846,0.2299490431720219,5.940822965617835e-05,0.002389145769245955,117
EVALUATE,5.295041986931482,0.09776715756374763,1.8675545824436113,0.04985978336038303,0.00018576088051564142,0.001303397241051121,216
GRASP_1,4.072078849374974,0.17079154909771907,1.193721591897436,0.14496833011416232,5.406814131303363e-06,0.0009866662105827283,780
GRASP_2,4.042633287049631,0.11434176441438883,1.1250188263223506,0.0941571365569682,1.158552147114624e-05,0.0009425844668500664,787
GRASP_3,4.223984959882777,0.11195738280588122,1.2554134628470792,0.09226965141259465,-1.7055704468367103e-05,0.0009958925223253682,832
GRASP_4,4.196026370324567,0.10094749399909549,1.2275946914860951,0.06346953004973682,-1.7337754958148067e-05,0.0011506596392609023,799
GRASP_5,4.241781884840943,0.0837775121213143,1.2639715802631912,0.047677612637848185,3.162071768335003e-05,0.0009475383628074237,774
GRASP_6,4.151621796519339,0.09897997893265403,1.211600273723507,0.058013244526892015,3.130665492232522e-05,0.0010215775496641663,787
GRASP_7,4.1891354418533995,0.09598091280037335,1.2390739357241138,0.0515853008473581,-1.5083515811233935e-05,0.0011558853221718493,756
GRASP_8,4.217533547762256,0.07963711964495676,1.2537585039021546,0.03886237305163185,4.714307410466212e-05,0.0010034844228999286,789
GRASP_9,4.2036311918055755,0.09329490112971987,1.2481456764504046,0.04487905044964075,-1.4991898896575819e-05,0.0009618203476128336,791
UPLIFT,5.19553852364095,0.46496277517982243,1.8089433937811763,0.2311662436650926,0.00928692011435375,0.005867117277423918,221
